MOL_FORMULA	NUM_REPEATS	EXACT_MASS	NUM_CARBONS	ISOTOPE_2	ISOTOPE_3	ISOTOPE_4	ISOTOPE_5	ISOTOPE_6
H2	2	2.015650064	0					
CH4	2	16.031300127999998	1	0.010815728292732236				
H3N	2	17.026549096	0	0.0036532980047372455				
C2H2	2	26.015650064	2	0.02163145658546447				
CHN	2	27.010899031999998	1	0.010815728292732234				
CH2O	2	30.010564684	1	0.010815728292732233	0.002054993634531913			
H3NO	2	33.021463716	0	0.0036532980047372433	0.002054993634531912			
H2S	2	33.987721064	0	0.008005899083535235	0.0451911935110081			
H3P	2	33.997236726	0					
C3H4	3	40.031300128	3	0.032447184878196714				
C2H3N	2	41.026549096	2	0.02163145658546447				
C2H2O	2	42.010564684	2	0.02163145658546447	0.002054993634531912			
CH2N2	2	42.021798063999995	1	0.01081572829273224				
C3H6	3	42.046950192	3	0.03244718487819671				
CHNO	2	43.005813652	1	0.010815728292732236	0.0020549936345319124			
C2H4O	3	44.026214748	2	0.021631456585464472	0.002054993634531912			
CH4N2	2	44.037448127999994	1	0.010815728292732236				
CH3NO	3	45.021463716	1	0.010815728292732234	0.0020549936345319124			
C2H7N	2	45.057849224	2	0.021631456585464465				
CH2O2	2	46.005479304	1	0.010815728292732234	0.004109987269063825			
C2H6O	2	46.041864812	2	0.02163145658546447	0.0020549936345319124			
CH5NO	2	47.03711378	1	0.01081572829273224	0.0020549936345319133			
CH4O2	2	48.021129368	1	0.010815728292732236	0.004109987269063826			
C3H2O	2	54.010564684	3	0.032447184878196714	0.002054993634531913			
C4H6	2	54.046950192	4	0.04326291317092894				
C3H5N	3	55.042199159999996	3	0.0324471848781967				
C3H4O	2	56.026214748	3	0.03244718487819671	0.0020549936345319124			
C2H4N2	3	56.037448128	2	0.02163145658546447				
C4H8	4	56.062600255999996	4	0.04326291317092893				
C2H3NO	2	57.021463716	2	0.021631456585464472	0.0020549936345319124			
C3H7N	3	57.057849223999995	3	0.03244718487819671				
C2H2O2	2	58.005479304	2	0.021631456585464472	0.004109987269063825			
C3H6O	5	58.041864812	3	0.03244718487819671	0.002054993634531912			
C2H6N2	2	58.05309819199999	2	0.02163145658546448				
CHNS	2	58.982970032	1	0.010815728292732234	0.0451911935110081			
C2H5NO	4	59.03711378	2	0.021631456585464465	0.0020549936345319124			
CH5N3	2	59.04834716	1	0.010959894014211732				
C3H9N	4	59.073499287999994	3	0.03244718487819672				
C2H4O2	5	60.021129368	2	0.021631456585464462	0.004109987269063824			
CH4N2O	5	60.032362748	1	0.010815728292732236	0.0020549936345319124			
C3H8O	3	60.057514876	3	0.032447184878196714	0.002054993634531912			
C2H8N2	4	60.06874825599999	2	0.021631456585464472				
CH3NO2	2	61.016378335999995	1	0.010815728292732234	0.004109987269063825			
C2H7NO	3	61.052763844	2	0.021631456585464472	0.002054993634531912			
CH2O3	3	62.000393923999994	1	0.010815728292732234	0.006164980903595738			
C2H6S	2	62.019021192	2	0.02163145658546447	0.04519119351100811			
C2H6O2	6	62.036779431999996	2	0.021631456585464472	0.004109987269063826			
C4H5N	4	67.04219916	4	0.043262913170928945				
C4H4O	2	68.026214748	4	0.04326291317092894	0.0020549936345319124			
C3H4N2	2	68.037448128	3	0.0324471848781967				
C5H8	4	68.062600256	5	0.05407864146366116	0.0011697997850220847			
C3H3NO	3	69.021463716	3	0.0324471848781967	0.002054993634531912			
C2H3N3	2	69.03269709599999	2	0.021631456585464472				
C4H7N	4	69.057849224	4	0.043262913170928945				
C2H2N2O	3	70.016712684	2	0.021631456585464465	0.002054993634531912			
C4H6O	10	70.041864812	4	0.04326291317092894	0.002054993634531912			
C3H6N2	3	70.053098192	3	0.0324471848781967				
C5H10	4	70.07825032	5	0.05407864146366116	0.0011697997850220845			
C3H5NO	6	71.03711378	3	0.03244718487819669	0.002054993634531912			
C4H9N	2	71.073499288	4	0.04326291317092894				
C5H11	2	71.086075352	5	0.05407864146366116	0.0011697997850220845			
C3H4O2	5	72.021129368	3	0.03244718487819671	0.004109987269063826			
CH4N4	2	72.04359612799999	1	0.014613192018948971				
C4H8O	9	72.057514876	4	0.04326291317092893	0.002054993634531912			
C3H8N2	3	72.06874825599999	3	0.0324471848781967				
C5H12	3	72.093900384	5	0.05407864146366116	0.0011697997850220842			
C2H3NS	2	72.998620096	2	0.021631456585464462	0.0451911935110081			
C3H7NO	11	73.052763844	3	0.032447184878196714	0.0020549936345319124			
C2H7N3	2	73.063997224	2	0.021631456585464462				
C4H11N	5	73.08914935199999	4	0.04326291317092894				
C2H2O3	2	74.000393924	2	0.021631456585464472	0.006164980903595737			
C3H6S	3	74.019021192	3	0.03244718487819669	0.04519119351100808	0.0014663270107180433		
C3H6O2	12	74.036779432	3	0.0324471848781967	0.004109987269063824			
C2H6N2O	8	74.048012812	2	0.021631456585464472	0.0020549936345319133			
C4H10O	5	74.07316494	4	0.04326291317092893	0.002054993634531911			
C3H10N2	3	74.08439831999999	3	0.03244718487819672				
C2H5NS	2	75.01427016	2	0.02163145658546446	0.045191193511008095			
C2H5NO2	8	75.0320284	2	0.021631456585464462	0.004109987269063825			
CH5N3O	2	75.04326178	1	0.010959894014211727	0.002054993634531912			
C3H9NO	6	75.068413908	3	0.032447184878196714	0.0020549936345319124			
C2H4OS	2	75.998285748	2	0.021631456585464472	0.04519119351100811			
CH4N2S	2	76.009519128	1	0.010815728292732234	0.04519119351100811			
C2H4O3	4	76.01604398799999	2	0.021631456585464465	0.006164980903595737			
CH4N2O2	3	76.027277368	1	0.010815728292732236	0.004109987269063826			
C3H8S	3	76.034671256	3	0.0324471848781967	0.04519119351100812	0.0014663270107180438		
C3H8O2	6	76.052429496	3	0.03244718487819671	0.004109987269063828			
C2H6OS	4	78.013935812	2	0.02163145658546448	0.04519119351100811			
C5H4N	2	78.034374128	5	0.054078641463661176	0.0011697997850220858			
CH5O2P	2	80.00271602999999	1	0.010815728292732234	0.004109987269063825			
C4H4N2	5	80.037448128	4	0.04326291317092893				
C5H7N	6	81.057849224	5	0.05407864146366117	0.001169799785022085			
H2O3S	2	81.972464924	0	0.008005899083535233	0.045191193511008095			
H3O3P	2	81.98198058599999	0	0.0011427769479836006	0.006164980903595737			
C3H2N2O	2	82.016712684	3	0.032447184878196714	0.002054993634531913			
C5H6O	4	82.041864812	5	0.05407864146366117	0.002054993634531912			
C4H6N2	7	82.053098192	4	0.04326291317092894				
C6H10	3	82.07825032	6	0.0648943697563934	0.0017546996775331277			
C3H5N3	2	83.04834715999999	3	0.03244718487819671				
C5H9N	9	83.073499288	5	0.05407864146366117	0.0011697997850220855			
C4H4O2	6	84.021129368	4	0.04326291317092894	0.004109987269063826			
C3H4N2O	4	84.032362748	3	0.0324471848781967	0.0020549936345319124			
C2H4N4	4	84.04359612799999	2	0.02163145658546448				
C5H8O	13	84.057514876	5	0.05407864146366118	0.0020549936345319124			
C4H8N2	3	84.06874825599999	4	0.04326291317092893				
C6H12	5	84.093900384	6	0.06489436975639337	0.001754699677533127			
C3H3NS	2	84.998620096	3	0.0324471848781967	0.0451911935110081	0.001466327010718043		
C4H7NO	6	85.052763844	4	0.04326291317092894	0.0020549936345319124			
C5H11N	3	85.08914935199999	5	0.054078641463661176	0.001169799785022086			
C2H2N2S	2	85.993869064	2	0.021631456585464465	0.0451911935110081			
C2H2N2O2	2	86.011627304	2	0.021631456585464462	0.004109987269063825			
C4H6S	2	86.019021192	4	0.04326291317092893	0.04519119351100811	0.001955102680957391		
C4H6O2	17	86.036779432	4	0.043262913170928945	0.004109987269063825			
C3H6N2O	4	86.048012812	3	0.0324471848781967	0.002054993634531912			
C5H10O	25	86.07316494	5	0.05407864146366116	0.0020549936345319116			
C4H10N2	3	86.08439831999999	4	0.04326291317092893				
C6H14	5	86.109550448	6	0.06489436975639337	0.001754699677533127			
C3H5NS	3	87.01427016	3	0.03244718487819671	0.045191193511008115	0.0014663270107180433		
C3H5NO2	8	87.0320284	3	0.03244718487819669	0.004109987269063824			
C4H9NO	7	87.068413908	4	0.04326291317092894	0.0020549936345319124			
C5H13N	3	87.10479941599999	5	0.05407864146366118	0.0011697997850220855			
C3H4O3	5	88.01604398799999	3	0.03244718487819672	0.006164980903595739			
C4H8S	5	88.034671256	4	0.043262913170928945	0.04519119351100811	0.0019551026809573914		
C4H8O2	14	88.052429496	4	0.04326291317092892	0.004109987269063825			
C3H8N2O	4	88.063662876	3	0.03244718487819669	0.002054993634531912			
C5H12O	12	88.088815004	5	0.05407864146366119	0.002054993634531912			
C4H12N2	5	88.100048384	4	0.043262913170928945				
C2H3NO3	2	89.01129295599999	2	0.021631456585464472	0.006164980903595738			
C3H7NO2	13	89.047678464	3	0.032447184878196714	0.004109987269063826			
CH7N5	2	89.070145224	1	0.018266490023686216				
C4H11NO	10	89.084063972	4	0.04326291317092894	0.0020549936345319124			
C3H6OS	8	90.013935812	3	0.03244718487819671	0.0451911935110081	0.0014663270107180433		
C2H6N2S	2	90.02516919199999	2	0.021631456585464465	0.04519119351100811			
C3H6O3	12	90.03169405199999	3	0.0324471848781967	0.006164980903595734			
C2H6N2O2	3	90.042927432	2	0.021631456585464462	0.004109987269063824			
C4H10S	6	90.05032132	4	0.04326291317092896	0.045191193511008095	0.001955102680957391		
C4H10O2	11	90.06807956	4	0.043262913170928945	0.004109987269063825			
C2H5NOS	2	91.00918478	2	0.021631456585464472	0.04519119351100811			
C2H5NO3	3	91.02694301999999	2	0.021631456585464448	0.006164980903595734			
C2H7NO3	2	93.04259308399999	2	0.021631456585464462	0.0061649809035957395			
C6H7N	5	93.057849224	6	0.06489436975639339	0.0017546996775331272			
C2H6S2	4	93.991092192	2	0.02163145658546447	0.0903823870220162	0.001955102680957392	0.002042243970949381	
CH6N2O3	2	94.03784205199999	1	0.01081572829273224	0.006164980903595738			
C6H6O	3	94.041864812	6	0.06489436975639341	0.0020549936345319124			
C5H6N2	7	94.053098192	5	0.05407864146366119	0.0011697997850220855			
C7H10	3	94.07825032	7	0.07571009804912565	0.0024565795485463793			
C5H5NO	5	95.03711378	5	0.05407864146366118	0.002054993634531911			
C4H5N3	2	95.04834715999999	4	0.04326291317092894				
C5H4O2	3	96.021129368	5	0.05407864146366118	0.004109987269063825			
C4H4N2O	5	96.032362748	4	0.043262913170928945	0.0020549936345319124			
C6H8O	11	96.057514876	6	0.06489436975639341	0.002054993634531913			
C5H8N2	3	96.06874825599999	5	0.05407864146366118	0.0011697997850220855			
C4H3NO2	2	97.016378336	4	0.04326291317092893	0.004109987269063824			
C5H7NO	7	97.052763844	5	0.05407864146366116	0.002054993634531913			
C6H11N	4	97.08914935199999	6	0.0648943697563934	0.0017546996775331279			
H3O4P	3	97.976895206	0	0.0015237025973114666	0.008219974538127646			
C4H2O3	2	98.000393924	4	0.04326291317092896	0.006164980903595739			
C5H6S	2	98.019021192	5	0.05407864146366116	0.04519119351100811	0.0024438783511967384		
C5H6O2	8	98.036779432	5	0.05407864146366116	0.004109987269063824			
C4H6N2O	2	98.048012812	4	0.04326291317092893	0.002054993634531913			
C6H10O	25	98.07316494	6	0.06489436975639337	0.002054993634531912			
C5H10N2	3	98.08439831999999	5	0.054078641463661155	0.0011697997850220842			
C7H14	10	98.109550448	7	0.07571009804912562	0.002456579548546379			
C4H5NS	8	99.01427016	4	0.04326291317092894	0.04519119351100811	0.001955102680957391		
C4H5NO2	5	99.0320284	4	0.043262913170928945	0.004109987269063824			
C3H5N3O	2	99.04326178	3	0.032447184878196714	0.0020549936345319124			
C5H9NO	11	99.068413908	5	0.05407864146366116	0.002054993634531911			
C6H13N	5	99.10479941599999	6	0.06489436975639339	0.001754699677533128			
C4H4OS	2	99.998285748	4	0.04326291317092893	0.0451911935110081	0.001955102680957391		
C3H4N2S	3	100.009519128	3	0.03244718487819671	0.04519119351100812	0.0014663270107180433		
C4H4O3	2	100.01604398799999	4	0.04326291317092894	0.006164980903595738			
C3H4N2O2	3	100.027277368	3	0.032447184878196714	0.004109987269063825			
C5H8S	2	100.034671256	5	0.054078641463661176	0.04519119351100812	0.0024438783511967384		
C5H8O2	26	100.052429496	5	0.05407864146366117	0.004109987269063822			
C4H8N2O	7	100.063662876	4	0.04326291317092894	0.0020549936345319124			
C6H12O	27	100.088815004	6	0.06489436975639337	0.0020549936345319124			
C5H12N2	10	100.10004838399999	5	0.054078641463661176	0.0011697997850220855			
C7H16	9	100.12520051199999	7	0.07571009804912562	0.002456579548546379			
C3H3NOS	2	100.993534716	3	0.0324471848781967	0.045191193511008095	0.0014663270107180431		
C3H4NOP	2	101.003050378	3	0.032447184878196714	0.002054993634531912			
C2H3N3S	3	101.00476809599999	2	0.021631456585464462	0.0451911935110081			
C4H7NS	5	101.029920224	4	0.04326291317092894	0.045191193511008115	0.001955102680957391		
C4H7NO2	17	101.047678464	4	0.043262913170928945	0.004109987269063825			
C5H11NO	22	101.084063972	5	0.05407864146366117	0.002054993634531912			
C6H15N	11	101.12044947999999	6	0.06489436975639341	0.0017546996775331287			
C4H6OS	2	102.013935812	4	0.043262913170928924	0.04519119351100808	0.0019551026809573905		
C3H6N2S	3	102.02516919199999	3	0.03244718487819671	0.04519119351100811	0.0014663270107180433		
C4H6O3	14	102.03169405199999	4	0.043262913170928945	0.006164980903595737			
C3H6N2O2	5	102.042927432	3	0.0324471848781967	0.004109987269063825			
C5H10S	4	102.05032132	5	0.05407864146366117	0.04519119351100809	0.0024438783511967375		
C2H6N4O	2	102.05416081199999	2	0.021631456585464462	0.0020549936345319124			
C5H10O2	23	102.06807956	5	0.05407864146366117	0.004109987269063827			
C4H10N2O	15	102.07931294	4	0.04326291317092894	0.002054993634531912			
C6H14O	18	102.104465068	6	0.06489436975639334	0.002054993634531912			
C5H14N2	7	102.11569844799999	5	0.05407864146366119	0.0011697997850220858			
C3H5NOS	2	103.00918478	3	0.0324471848781967	0.04519119351100811	0.0014663270107180435		
C3H5NO3	6	103.02694301999999	3	0.03244718487819669	0.006164980903595736			
C2H5N3O2	3	103.0381764	2	0.02163145658546447	0.004109987269063824			
C4H9NS	5	103.045570288	4	0.04326291317092893	0.04519119351100811	0.001955102680957391		
C4H9NO2	30	103.063328528	4	0.04326291317092894	0.004109987269063825			
C5H13NO	12	103.099714036	5	0.054078641463661176	0.002054993634531913			
C4H13N3	2	103.110947416	4	0.04326291317092894				
C3H4O4	3	104.010958608	3	0.0324471848781967	0.008219974538127648			
C4H8OS	9	104.029585876	4	0.04326291317092892	0.045191193511008115	0.0019551026809573905		
C6H4N2	2	104.037448128	6	0.06489436975639341	0.0017546996775331283			
C3H8N2S	4	104.04081925599999	3	0.0324471848781967	0.04519119351100811	0.0014663270107180433		
C4H8O3	16	104.04734411599999	4	0.04326291317092893	0.006164980903595739			
C3H8N2O2	5	104.058577496	3	0.03244718487819671	0.004109987269063824			
C5H12S	6	104.065971384	5	0.054078641463661176	0.04519119351100812	0.0024438783511967397		
C5H12O2	8	104.083729624	5	0.05407864146366117	0.004109987269063824			
C4H12N2O	2	104.094963004	4	0.043262913170928924	0.0020549936345319116			
[C5H14NO]+	3	104.107539068	5	0.05407864146366115	0.002054993634531912			
C3H7NOS	3	105.024834844	3	0.03244718487819672	0.04519119351100811	0.0014663270107180438		
C3H7NO3	6	105.04259308399999	3	0.03244718487819672	0.006164980903595734			
C7H7N	3	105.057849224	7	0.07571009804912567	0.0024565795485463793			
C4H11NO2	6	105.078978592	4	0.043262913170928945	0.004109987269063822			
C3H6O2S	4	106.008850432	3	0.03244718487819671	0.04519119351100812	0.0014663270107180435		
C3H6O4	4	106.026608672	3	0.03244718487819671	0.008219974538127651			
C4H10OS	3	106.04523594	4	0.04326291317092893	0.04519119351100812	0.001955102680957392		
C6H6N2	3	106.053098192	6	0.0648943697563934	0.001754699677533128			
C4H10O3	4	106.06299417999999	4	0.043262913170928924	0.006164980903595737			
C8H10	4	106.07825032	8	0.08652582634185785	0.0032754393980618385			
C6H5NO	5	107.03711378	6	0.06489436975639341	0.002054993634531911			
C7H7O	2	107.049689844	7	0.07571009804912562	0.0024565795485463793			
C7H9N	12	107.073499288	7	0.07571009804912565	0.0024565795485463793			
C3H8S2	5	108.006742256	3	0.0324471848781967	0.0903823870220162	0.0029326540214360862	0.0020422439709493812	
C6H4O2	3	108.021129368	6	0.06489436975639339	0.004109987269063825			
C3H8O2S	2	108.024500496	3	0.03244718487819671	0.045191193511008115	0.0014663270107180433		
C3H8O4	2	108.042258736	3	0.03244718487819671	0.00821997453812765			
C7H8O	5	108.057514876	7	0.0757100980491256	0.002456579548546379			
C6H8N2	12	108.06874825599999	6	0.06489436975639341	0.0017546996775331279			
C8H12	6	108.093900384	8	0.08652582634185788	0.003275439398061839			
C2H7NO2S	3	109.019749464	2	0.02163145658546447	0.04519119351100815			
C6H7NO	15	109.052763844	6	0.06489436975639339	0.0020549936345319124			
C5H7N3	9	109.06399722399999	5	0.05407864146366117	0.0011697997850220851			
C7H11N	2	109.08914935199999	7	0.07571009804912568	0.0024565795485463806			
C4H2N2S	4	109.993869064	4	0.04326291317092896	0.04519119351100811	0.0019551026809573923		
C2H6O3S	2	110.00376505199999	2	0.02163145658546447	0.045191193511008095			
C2H7O3P	2	110.01328071399999	2	0.02163145658546445	0.006164980903595735			
CH6N2O2S	2	110.014998432	1	0.010815728292732231	0.0451911935110081			
C6H6S	3	110.019021192	6	0.0648943697563934	0.0451911935110081	0.002932654021436086		
C6H6O2	8	110.036779432	6	0.0648943697563934	0.004109987269063824			
C5H6N2O	18	110.048012812	5	0.05407864146366119	0.0020549936345319133			
C4H6N4	4	110.05924619199999	4	0.04326291317092896				
C7H10O	15	110.07316494	7	0.07571009804912567	0.0024565795485463797			
C6H10N2	9	110.08439831999999	6	0.06489436975639343	0.0017546996775331287			
C8H14	6	110.109550448	8	0.08652582634185785	0.003275439398061838			
C5H5NS	2	111.01427016	5	0.054078641463661176	0.0451911935110081	0.002443878351196738		
C5H5NO2	10	111.0320284	5	0.05407864146366119	0.004109987269063826			
C4H5N3O	6	111.04326178	4	0.043262913170928945	0.0020549936345319116			
C3H5N5	3	111.05449516	3	0.0324471848781967				
C6H9NO	15	111.068413908	6	0.06489436975639341	0.0020549936345319124			
C5H9N3	8	111.07964728799999	5	0.05407864146366116	0.0011697997850220842			
C7H13N	10	111.10479941599999	7	0.07571009804912565	0.0024565795485463797			
CH5O4P	2	111.99254527	1	0.010815728292732234	0.008219974538127646			
C5H4OS	2	111.998285748	5	0.05407864146366118	0.0451911935110081	0.0024438783511967392		
C5H4O3	6	112.01604398799999	5	0.054078641463661176	0.006164980903595737			
C4H4N2O2	7	112.027277368	4	0.04326291317092896	0.004109987269063826			
C6H8S	7	112.034671256	6	0.06489436975639341	0.045191193511008115	0.002932654021436087		
C3H4N4O	2	112.038510748	3	0.03244718487819671	0.002054993634531912			
C6H8O2	31	112.052429496	6	0.06489436975639344	0.004109987269063825			
C5H8N2O	8	112.063662876	5	0.05407864146366118	0.0020549936345319124			
C4H8N4	3	112.074896256	4	0.043262913170928945				
C7H12O	28	112.088815004	7	0.07571009804912565	0.0024565795485463797			
C6H12N2	6	112.10004838399999	6	0.06489436975639341	0.001754699677533129			
C8H16	18	112.12520051199999	8	0.08652582634185785	0.003275439398061838			
C4H3NOS	3	112.993534716	4	0.04326291317092894	0.04519119351100808	0.0019551026809573905		
C4H3NO3	2	113.01129295599999	4	0.04326291317092894	0.006164980903595736			
C3H3N3O2	6	113.022526336	3	0.03244718487819671	0.004109987269063824			
C5H7NS	9	113.029920224	5	0.05407864146366116	0.045191193511008095	0.002443878351196738		
C5H7NO2	10	113.047678464	5	0.05407864146366118	0.004109987269063825			
C4H7N3O	2	113.058911844	4	0.04326291317092893	0.0020549936345319124			
C6H11NO	16	113.084063972	6	0.0648943697563934	0.0020549936345319124			
C7H15N	11	113.12044947999999	7	0.07571009804912562	0.002456579548546379			
C4H2O4	2	113.995308544	4	0.04326291317092894	0.00821997453812765			
C5H6OS	5	114.013935812	5	0.05407864146366116	0.045191193511008115	0.0024438783511967384		
C4H6N2S	8	114.02516919199999	4	0.043262913170928945	0.045191193511008115	0.001955102680957392		
C5H6O3	10	114.03169405199999	5	0.054078641463661155	0.006164980903595736			
C4H6N2O2	13	114.042927432	4	0.04326291317092894	0.004109987269063825			
