MOL_FORMULA	NUM_REPEATS	EXACT_MASS	NUM_CARBONS	ISOTOPE_2	ISOTOPE_3	ISOTOPE_4	ISOTOPE_5	ISOTOPE_6
H2	2	2.015650064	0	0.3199577613516367				
CH4	2	16.031300127999998	1	0.010815728292732234	0.3199577613516368	0.003460576211930166		
H3N	2	17.026549096	0	0.0036532980047372437	0.3199577613516367	0.0011689010511461298		
C2H2	2	26.015650064	2	0.021631456585464465	0.3199577613516366	0.0069211524238603295		
CHN	2	27.010899031999998	1	0.010815728292732234	0.3199577613516367	0.0034605762119301656		
CH2O	2	30.010564684	1	0.010815728292732233	0.3199577613516366	0.0034605762119301648		
H3NO	2	33.021463716	0	0.003653298004737244	0.3199577613516367	0.00116890105114613		
H2S	2	33.987721064	0	0.008005899083535236	0.3199577613516368	0.0025615495483750543	0.01445927310859077	
H3P	2	33.997236726	0	0.3199577613516367				
C3H4	3	40.031300128	3	0.032447184878196714	0.3199577613516368	0.010381728635790498		
C2H3N	2	41.026549096	2	0.02163145658546447	0.3199577613516367	0.006921152423860331		
C2H2O	2	42.010564684	2	0.02163145658546447	0.3199577613516367	0.0069211524238603295		
CH2N2	2	42.021798063999995	1	0.010815728292732233	0.3199577613516366	0.003460576211930164		
C3H6	3	42.046950192	3	0.03244718487819669	0.31995776135163656	0.010381728635790493		
CHNO	2	43.005813652	1	0.010815728292732234	0.31995776135163684	0.003460576211930166		
C2H4O	3	44.026214748	2	0.021631456585464465	0.3199577613516367	0.00692115242386033		
CH4N2	2	44.037448127999994	1	0.010815728292732236	0.31995776135163684	0.003460576211930168		
CH3NO	3	45.021463716	1	0.010815728292732241	0.3199577613516368	0.0034605762119301665		
C2H7N	2	45.057849224	2	0.021631456585464472	0.31995776135163667	0.00692115242386033		
CH2O2	2	46.005479304	1	0.010815728292732233	0.3199577613516366	0.0034605762119301656	0.001315022325793388	
C2H6O	2	46.041864812	2	0.021631456585464465	0.3199577613516366	0.006921152423860331		
CH5NO	2	47.03711378	1	0.010815728292732234	0.3199577613516367	0.003460576211930165		
CH4O2	2	48.021129368	1	0.010815728292732233	0.3199577613516367	0.003460576211930166	0.0013150223257933885	
C3H2O	2	54.010564684	3	0.0324471848781967	0.3199577613516367	0.010381728635790496		
C4H6	2	54.046950192	4	0.04326291317092892	0.3199577613516365	0.013842304847720647		
C3H5N	3	55.042199159999996	3	0.0324471848781967	0.3199577613516368	0.010381728635790498		
C3H4O	2	56.026214748	3	0.03244718487819669	0.31995776135163656	0.010381728635790493		
C2H4N2	3	56.037448127999994	2	0.021631456585464472	0.31995776135163667	0.006921152423860327		
C4H8	4	56.062600255999996	4	0.043262913170928945	0.31995776135163667	0.01384230484772066		
C2H3NO	2	57.021463716	2	0.021631456585464465	0.3199577613516366	0.006921152423860329		
C3H7N	3	57.057849224	3	0.03244718487819671	0.3199577613516367	0.010381728635790496		
C2H2O2	2	58.005479304	2	0.02163145658546447	0.3199577613516366	0.006921152423860331	0.001315022325793388	
C3H6O	5	58.041864812	3	0.03244718487819669	0.3199577613516365	0.010381728635790491		
C2H6N2	2	58.05309819199999	2	0.02163145658546447	0.31995776135163667	0.006921152423860333		
